,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
3961,203129,"Shengelia, Tornike",Tornike Shengelia,0,2012,2013,tornike_shengelia,tornike_shengelia,0,,,,,,Y,01
3962,1641767,"Sheppard, Ben",Ben Sheppard,0,2023,2023,ben_sheppard,ben_sheppard,0,,,,,,N,00
3963,1852,"Sheppard, Jeff",Jeff Sheppard,0,1998,1998,jeff_sheppard,jeff_sheppard,0,,,,,,Y,00
3964,78135,"Sheppard, Steve",Steve Sheppard,0,1977,1978,HISTADD_bear_sheppard,steve_sheppard,0,,,,,,Y,00
3965,78136,"Sherod, Edmund",Edmund Sherod,0,1982,1982,HISTADD_edmund_sherod,edmund_sherod,0,,,,,,Y,00
3966,78653,"Shipp, Charlie",Charlie Shipp,0,1949,1949,charlie_shipp,charlie_shipp,0,,,,,,Y,00
3967,2321,"Shirley, Paul",Paul Shirley,0,2002,2004,paul_shirley,paul_shirley,0,,,,,,Y,00
3968,78138,"Short, Gene",Gene Short,0,1975,1975,HISTADD_gene_short,gene_short,0,,,,,,Y,00
3969,78139,"Short, Purvis",Purvis Short,0,1978,1989,HISTADD_purvis_short,purvis_short,0,,,,,,Y,00
3970,78140,"Shouse, Dexter",Dexter Shouse,0,1989,1989,HISTADD_dexter_shouse,dexter_shouse,0,,,,,,Y,00
3971,78141,"Shrider, Dick",Dick Shrider,0,1948,1948,HISTADD_dick_shrider,dick_shrider,0,,,,,,Y,00
3972,78142,"Shue, Gene",Gene Shue,0,1954,1963,HISTADD_gene_shue,gene_shue,0,,,,,,Y,00
3973,78143,"Shumate, John",John Shumate,0,1975,1980,HISTADD_john_shumate,john_shumate,0,,,,,,Y,00
3974,202697,"Shumpert, Iman",Iman Shumpert,0,2011,2020,iman_shumpert,iman_shumpert,0,,,,,,Y,00
3975,203144,"Shved, Alexey",Alexey Shved,0,2012,2014,alexey_shved,alexey_shved,0,,,,,,Y,00
3976,1627783,"Siakam, Pascal",Pascal Siakam,1,2016,2023,pascal_siakam,pascal_siakam,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,01
3977,1626296,"Sibert, Jordan",Jordan Sibert,0,2018,2018,jordan_sibert,jordan_sibert,0,,,,,,Y,01
