Player,O_POSSESSIONS,O_RAPM_2022,D_POSSESSIONS,D_RAPM_2022,TOTAL_POSSESSIONS,RAPM_2022
Dejounte Murray,5553,-0.44,5559,-0.29,11112,-0.73
Mike Muscala,1963,1.43,1938,0.74,3901,2.17
Goga Bitadze,910,-0.23,913,1.16,1823,0.93
Facundo Campazzo,102,-0.28,103,0.45,205,0.17
Leandro Bolmaro,141,-0.3,139,0.31,280,0.01
John Wall,1555,-1.98,1567,0.01,3122,-1.97
Patty Mills,1188,-0.36,1165,-1.27,2353,-1.63
David Duke Jr.,463,-0.5,465,-0.01,928,-0.51
Garrett Temple,347,-0.64,353,0.23,700,-0.41
Robin Lopez,593,-1.19,595,-0.38,1188,-1.56
Ayo Dosunmu,4235,-1.9,4256,1.2,8491,-0.7
Mike Conley,4096,2.05,4084,-1.24,8180,0.8
Peyton Watson,369,-0.43,368,-0.22,737,-0.65
Malcolm Brogdon,3537,-0.1,3519,0.49,7056,0.39
Drew Eubanks,3180,0.15,3196,-0.68,6376,-0.53
Jonathan Kuminga,2900,-0.17,2906,-0.37,5806,-0.54
Vince Williams Jr.,215,-0.88,212,0.2,427,-0.68
Jock Landale,1999,0.33,1981,1.19,3980,1.52
Dylan Windler,18,-0.07,17,0.0,35,-0.07
Reggie Bullock,4615,-0.43,4601,-1.12,9216,-1.55
Joe Wieskamp,102,-0.4,105,0.48,207,0.07
Kentavious Caldwell-Pope,4863,1.73,4854,0.62,9717,2.35
Gary Payton II,732,1.29,739,-0.91,1471,0.38
Cory Joseph,2466,-0.05,2452,-0.36,4918,-0.41
Jakob Poeltl,3885,0.24,3885,0.0,7770,0.24
Dyson Daniels,2146,-1.63,2172,1.2,4318,-0.42
Kobi Simmons,58,-0.36,56,-0.13,114,-0.49
Kenyon Martin Jr.,4690,0.28,4656,-1.39,9346,-1.1
Yuta Watanabe,1898,0.29,1882,-0.55,3780,-0.26
Jordan McLaughlin,1442,0.35,1441,1.55,2883,1.9
A.J. Lawson,225,-0.6,228,-0.33,453,-0.93
Udoka Azubuike,764,-1.11,764,-0.27,1528,-1.38
Donte DiVincenzo,3986,0.41,3982,1.11,7968,1.52
Jabari Smith Jr.,4986,-1.55,4956,-1.64,9942,-3.19
Trevor Hudgins,54,0.0,55,0.17,109,0.17
Steven Adams,2318,1.79,2328,0.56,4646,2.35
Keldon Johnson,4259,-0.43,4271,-2.5,8530,-2.93
James Johnson,338,-0.59,341,0.6,679,0.01
Brandon Clarke,2271,-1.3,2283,0.45,4554,-0.85
Dru Smith,319,-0.65,316,0.12,635,-0.53
Nikola Vucevic,5523,0.13,5490,-0.7,11013,-0.56
Keon Johnson,839,-1.02,846,-1.27,1685,-2.29
LaMelo Ball,2680,1.04,2675,-1.41,5355,-0.36
Vernon Carey Jr.,58,-0.44,56,0.14,114,-0.3
AJ Griffin,2888,0.71,2896,0.43,5784,1.13
Olivier Sarr,231,-0.01,230,0.34,461,0.33
Trevelin Queen,147,-0.13,143,0.36,290,0.23
Grayson Allen,4086,0.05,4087,0.47,8173,0.52
Chimezie Metu,1451,0.63,1462,1.3,2913,1.93
RJ Barrett,4945,0.17,4974,-1.85,9919,-1.68
Nic Claxton,4476,1.42,4558,1.09,9034,2.5
Blake Griffin,1159,0.13,1148,0.76,2307,0.89
Udonis Haslem,148,-0.18,151,-0.16,299,-0.34
Joshua Primo,199,0.2,202,0.07,401,0.27
Richaun Holmes,715,-1.33,705,-0.6,1420,-1.93
Harrison Barnes,5475,1.75,5470,0.44,10945,2.19
Jabari Walker,1259,-0.92,1263,-0.16,2522,-1.08
Mark Williams,1717,-0.95,1717,0.61,3434,-0.34
Terrence Ross,2731,0.06,2699,-1.36,5430,-1.3
Davion Mitchell,2917,0.0,2999,0.33,5916,0.33
Kyrie Irving,4479,2.17,4450,0.02,8929,2.19
Malcolm Hill,18,0.08,23,0.25,41,0.33
Trent Forrest,556,-0.81,562,-0.35,1118,-1.16
Bones Hyland,2142,0.05,2145,-2.05,4287,-1.99
Isaiah Jackson,2181,-0.55,2184,-0.4,4365,-0.95
Michael Carter-Williams,86,-0.16,86,-0.4,172,-0.56
Isaiah Livers,2387,-0.61,2387,-0.27,4774,-0.88
Jaden McDaniels,4936,0.85,4936,0.71,9872,1.56
Otto Porter Jr.,298,-0.22,292,-0.41,590,-0.63
Malaki Branham,3253,-0.31,3268,-1.7,6521,-2.0
Chuma Okeke,1048,-0.94,1056,-1.14,2104,-2.08
Frank Ntilikina,1202,0.29,1227,1.16,2429,1.45
Caleb Houstan,1637,-0.58,1640,-0.51,3277,-1.08
Julian Champagnie,672,-0.01,677,-0.68,1349,-0.69
Cody Zeller,430,-0.1,428,-0.76,858,-0.86
Domantas Sabonis,5600,1.71,5590,-0.89,11190,0.82
Dennis Smith Jr.,2821,-2.08,2831,3.14,5652,1.06
Shaedon Sharpe,3636,-0.78,3646,-2.04,7282,-2.82
Jared Rhoden,397,0.57,392,0.25,789,0.82
Jevon Carter,3692,-1.18,3756,1.5,7448,0.32
KZ Okpala,499,-0.71,530,1.01,1029,0.3
Pascal Siakam,5312,1.17,5295,0.05,10607,1.22
Paul Reed,1500,-0.03,1522,-0.25,3022,-0.28
Joe Harris,3092,-0.87,3055,-1.16,6147,-2.02
Doug McDermott,2784,-0.29,2743,-2.01,5527,-2.29
Ish Smith,806,-0.89,805,0.54,1611,-0.35
Tre Mann,2444,-1.1,2405,0.62,4849,-0.48
Torrey Craig,3874,-0.51,3908,-1.51,7782,-2.02
Nassir Little,1950,0.05,1968,-1.71,3918,-1.66
Sam Merrill,117,-0.32,116,0.11,233,-0.21
Andre Drummond,1702,-0.84,1730,0.84,3432,0.0
Kevon Harris,925,-0.01,935,0.54,1860,0.53
Taj Gibson,942,0.09,936,-0.04,1878,0.05
Evan Fournier,930,-0.99,935,-0.39,1865,-1.38
Kris Dunn,1216,0.01,1214,-0.58,2430,-0.56
Mitchell Robinson,3130,1.74,3153,0.51,6283,2.25
