Player,O_POSSESSIONS,O_RAPM_2022,D_POSSESSIONS,D_RAPM_2022,TOTAL_POSSESSIONS,RAPM_2022
Luke Kornet,1628,-0.2,1641,0.08,3269,-0.12
Jalen Green,5310,0.27,5287,-1.24,10597,-0.97
Montrezl Harrell,1372,0.0,1384,0.47,2756,0.47
John Konchar,3073,0.74,3103,1.34,6176,2.08
Matthew Dellavedova,442,-1.06,453,0.18,895,-0.88
Damian Lillard,4257,2.94,4240,-0.86,8497,2.08
TyTy Washington Jr.,885,-0.72,881,0.49,1766,-0.23
Khris Middleton,1702,0.53,1685,0.25,3387,0.78
Duane Washington Jr.,785,-0.37,771,0.41,1556,0.03
Jordan Goodwin,2211,-1.02,2219,0.02,4430,-1.0
James Wiseman,1777,-1.24,1788,-2.39,3565,-3.63
Kendall Brown,95,-0.06,94,0.28,189,0.22
Jordan Clarkson,4055,1.07,4046,-0.96,8101,0.11
Christian Braun,2357,-1.18,2384,0.43,4741,-0.75
Xavier Tillman,2440,-1.15,2442,0.0,4882,-1.14
Aaron Nesmith,3738,0.61,3758,-2.0,7496,-1.39
Austin Rivers,2072,-0.64,2085,-1.29,4157,-1.93
Trey Lyles,2578,1.09,2565,-0.49,5143,0.6
Anfernee Simons,4329,-0.3,4330,-0.08,8659,-0.38
Jalen Duren,3377,-0.75,3374,-0.46,6751,-1.21
Jared Butler,158,-0.19,157,0.06,315,-0.13
Eric Gordon,4039,-0.28,4031,-0.32,8070,-0.6
Neemias Queta,64,-0.5,68,-0.17,132,-0.67
Jaden Hardy,1410,0.26,1393,-0.94,2803,-0.68
Jonas Valanciunas,4004,-0.4,4006,-0.35,8010,-0.75
Andrew Nembhard,4296,-0.39,4308,-1.42,8604,-1.81
Jarred Vanderbilt,3817,0.3,3851,-1.86,7668,-1.56
Jae'Sean Tate,1371,-0.51,1367,0.38,2738,-0.13
Jaylen Nowell,2641,-0.04,2612,0.03,5253,-0.01
Goran Dragic,1799,-0.04,1791,-1.0,3590,-1.04
Luguentz Dort,4726,1.02,4728,-0.01,9454,1.01
Tyrese Martin,126,0.06,126,-0.05,252,0.0
Lamar Stevens,2158,-0.5,2173,-0.59,4331,-1.08
Mamadi Diakite,331,-0.37,337,0.26,668,-0.1
Rui Hachimura,3026,-1.72,3041,1.21,6067,-0.51
Malachi Flynn,1368,-0.32,1368,-0.74,2736,-1.06
Daishen Nix,1857,-0.96,1857,-0.06,3714,-1.02
Tyrese Haliburton,3890,1.79,3880,-0.52,7770,1.27
T.J. McConnell,3173,0.08,3170,0.32,6343,0.4
Ish Wainright,1846,0.49,1856,0.94,3702,1.43
Justin Jackson,210,-1.24,217,-0.36,427,-1.6
Robert Covington,1585,-0.33,1578,0.53,3163,0.2
Trevor Keels,16,-0.26,18,-0.15,34,-0.41
Tim Hardaway Jr.,4229,1.99,4230,0.81,8459,2.8
Daniel Gafford,3200,0.09,3218,-0.5,6418,-0.41
Isaiah Mobley,164,-0.08,162,0.71,326,0.63
Josh Hart,4919,3.24,4896,1.01,9815,4.25
Rudy Gay,1675,0.05,1675,1.14,3350,1.19
Khem Birch,320,-0.07,324,0.37,644,0.3
Chance Comanche,42,-0.11,43,-0.56,85,-0.67
Saben Lee,760,-1.61,773,0.61,1533,-1.0
Shake Milton,3204,0.86,3195,0.29,6399,1.14
LeBron James,4070,2.13,4071,1.29,8141,3.42
Chris Silva,8,-0.03,8,0.06,16,0.03
Darius Garland,4812,1.89,4758,0.96,9570,2.84
Patrick Baldwin,462,-0.85,461,-0.24,923,-1.08
Georges Niang,3068,-0.45,3028,-0.2,6096,-0.65
Damian Jones,1017,-0.99,1002,-0.08,2019,-1.07
Paul George,3890,1.52,3871,0.74,7761,2.25
Derrick White,4702,1.87,4710,2.49,9412,4.36
Chris Boucher,3032,-0.93,3031,0.26,6063,-0.67
Caleb Martin,4095,-0.38,4136,0.91,8231,0.53
Josh Giddey,4910,-1.16,4878,-0.9,9788,-2.06
JD Davison,131,-0.18,130,-0.12,261,-0.3
Charles Bassey,1057,0.0,1056,0.56,2113,0.56
Bojan Bogdanovic,3868,0.91,3868,-1.22,7736,-0.3
Kessler Edwards,778,1.04,799,-0.4,1577,0.64
Moussa Diabate,399,-0.09,398,-0.33,797,-0.42
Orlando Robinson,830,0.31,838,0.67,1668,0.98
Pat Connaughton,2985,0.41,2999,-0.01,5984,0.4
Jusuf Nurkic,2809,-0.42,2792,0.54,5601,0.12
Xavier Moon,38,-0.14,37,0.24,75,0.09
DeMar DeRozan,5377,0.41,5390,0.89,10767,1.3
PJ Dozier,161,-0.57,161,-0.07,322,-0.63
Desmond Bane,3797,1.92,3798,1.33,7595,3.25
Juancho Hernangomez,1234,0.41,1231,-0.52,2465,-0.11
Johnny Davis,867,-1.85,858,0.63,1725,-1.22
Luka Samanic,347,0.08,349,0.4,696,0.48
Austin Reaves,3830,1.52,3841,0.83,7671,2.35
Ben Simmons,2224,0.48,2228,-0.05,4452,0.43
Gary Trent Jr.,4292,-1.12,4286,-0.53,8578,-1.65
Rudy Gobert,4348,-1.55,4348,1.49,8696,-0.06
Tony Bradley,75,0.04,74,0.11,149,0.15
Robert Williams III,1669,0.32,1669,1.32,3338,1.64
Stanley Johnson,973,0.61,989,-0.78,1962,-0.17
Thomas Bryant,2221,-0.43,2223,-0.95,4444,-1.38
Jason Preston,256,-0.02,253,-0.15,509,-0.17
Ochai Agbaji,2528,0.73,2540,-0.54,5068,0.18
Anthony Gill,1254,0.32,1264,0.06,2518,0.38
Xavier Cooks,276,0.28,276,0.15,552,0.43
Cameron Payne,1996,0.77,1966,-0.22,3962,0.55
Bradley Beal,3298,1.21,3285,-0.8,6583,0.4
Taurean Prince,2498,0.06,2503,-0.32,5001,-0.26
Sam Hauser,2652,0.55,2625,0.83,5277,1.38
Jake LaRavia,844,-0.61,853,-0.49,1697,-1.1
Kira Lewis Jr.,487,0.58,479,0.64,966,1.22
Kennedy Chandler,575,-0.74,570,-0.17,1145,-0.91
Kai Jones,1106,-0.24,1113,0.3,2219,0.06
Jalen Smith,2672,-0.26,2679,-0.19,5351,-0.45
Louis King,60,0.22,61,-0.15,121,0.07
Luka Doncic,4764,1.73,4727,-0.71,9491,1.02
Immanuel Quickley,4656,-0.55,4647,3.25,9303,2.7
R.J. Hampton,1502,-0.6,1510,-0.84,3012,-1.44
Terry Rozier,4510,0.15,4501,-0.67,9011,-0.52
Zach Collins,3043,-0.39,3038,0.15,6081,-0.24
Willy Hernangomez,956,-0.21,962,0.68,1918,0.47
Jericho Sims,1580,-1.35,1603,-0.59,3183,-1.94
Walker Kessler,3476,0.77,3508,0.78,6984,1.55
P.J. Tucker,3761,0.6,3776,-0.31,7537,0.28
Bam Adebayo,5136,0.44,5112,0.85,10248,1.29
Admiral Schofield,891,-0.89,890,-0.67,1781,-1.56
Jack White,119,-0.18,128,0.1,247,-0.07
Bobby Portis,3749,-0.22,3751,-1.19,7500,-1.41
