Player,O_POSSESSIONS,O_RAPM_2021,D_POSSESSIONS,D_RAPM_2021,TOTAL_POSSESSIONS,RAPM_2021
HOME,238987,1.59,0,0,238987,1.59
Craig Sword,33,-0.01,37,0.2,70,0.19
Gary Trent Jr.,4865,1.61,4876,-0.48,9741,1.13
Kemba Walker,1908,-1.11,1907,-1.27,3815,-2.38
Yves Pons,147,-0.82,147,-0.06,294,-0.87
Oshae Brissett,3122,1.13,3137,-1.93,6259,-0.8
Darren Collison,87,-0.31,83,-0.22,170,-0.53
Gary Harris,3516,-0.64,3504,0.38,7020,-0.26
Deandre Ayton,3508,1.41,3506,0.02,7014,1.43
Lauri Markkanen,3699,1.94,3696,-1.06,7395,0.87
Alize Johnson,321,-0.15,333,-0.75,654,-0.9
Jaysean Paige,16,-0.28,15,-0.01,31,-0.29
Quinndary Weatherspoon,145,0.41,147,-0.56,292,-0.15
Udoka Azubuike,390,-0.41,383,0.14,773,-0.26
Vernon Carey Jr.,88,-0.45,90,-0.64,178,-1.09
Jonathan Kuminga,2375,-0.16,2383,-0.42,4758,-0.57
Trae Young,5379,2.76,5386,-1.52,10765,1.23
Buddy Hield,5050,1.64,5001,-1.21,10051,0.42
Keon Johnson,1392,-1.27,1401,-1.98,2793,-3.25
Jock Landale,1205,-0.19,1201,-0.14,2406,-0.33
Kyle Anderson,3062,-0.69,3087,0.23,6149,-0.46
Miye Oni,84,-0.42,88,-0.32,172,-0.74
David Nwaba,1258,0.14,1254,-0.94,2512,-0.8
Marquese Chriss,694,-0.7,683,-0.49,1377,-1.19
Marko Simonovic,66,0.07,70,0.11,136,0.18
Joel Embiid,4525,2.19,4516,1.6,9041,3.79
Killian Tillie,929,-0.53,921,0.0,1850,-0.53
Aaron Gordon,4802,2.8,4756,-0.3,9558,2.5
PJ Dozier,673,-1.75,678,0.02,1351,-1.73
Nikola Vucevic,4862,-0.61,4848,-0.1,9710,-0.71
Jarrett Culver,680,-0.66,680,0.0,1360,-0.66
Josh Hart,3609,-0.24,3608,-0.39,7217,-0.63
Cody Martin,3741,1.22,3778,-1.21,7519,0.01
Lindell Wigginton,414,-0.06,416,-1.1,830,-1.16
Goga Bitadze,1472,1.33,1454,-0.76,2926,0.57
David Duke Jr.,685,0.01,691,-0.45,1376,-0.44
Justin Robinson,629,-1.88,637,-0.13,1266,-2.0
Devin Vassell,3982,0.09,3990,-0.43,7972,-0.34
Trey Lyles,3128,0.03,3119,-0.99,6247,-0.96
Wayne Ellington,1653,-0.07,1644,-0.3,3297,-0.37
Sekou Doumbouya,36,-0.04,35,0.64,71,0.6
Paul Reed,589,0.31,596,-1.21,1185,-0.89
Devin Booker,4813,2.41,4827,-0.05,9640,2.36
Day'Ron Sharpe,781,1.12,781,0.4,1562,1.52
Cameron Oliver,84,0.32,89,-0.24,173,0.08
Michael Porter Jr.,543,-0.83,534,2.24,1077,1.41
Jaylen Brown,4439,0.76,4411,2.01,8850,2.76
Gary Payton II,2469,0.84,2517,2.04,4986,2.88
James Harden,4878,2.55,4887,-0.54,9765,2.0
Richaun Holmes,2205,-0.57,2199,0.17,4404,-0.39
Justin Jackson,72,-0.53,67,0.0,139,-0.53
Immanuel Quickley,3485,1.97,3492,1.83,6977,3.8
Greg Brown III,1305,-1.29,1311,-0.85,2616,-2.14
Paris Bass,16,-0.01,16,0.06,32,0.05
Tyrese Haliburton,5445,0.05,5427,-1.77,10872,-1.72
Jay Huff,44,-0.27,42,0.6,86,0.32
Dillon Brooks,1810,1.25,1817,1.14,3627,2.38
Shaq Buchanan,23,-0.03,23,-0.05,46,-0.08
Robert Williams III,3578,0.1,3556,1.78,7134,1.88
DeJon Jarreau,2,0.05,1,-0.02,3,0.03
Bryn Forbes,2635,0.08,2606,-0.06,5241,0.02
Damian Lillard,2144,1.03,2137,-0.49,4281,0.54
Maurice Harkless,1754,-0.49,1765,0.58,3519,0.08
Skylar Mays,428,-0.12,432,-1.04,860,-1.16
Frank Jackson,2379,-0.85,2381,-0.2,4760,-1.05
Cat Barber,28,0.19,27,0.11,55,0.3
Bojan Bogdanovic,4263,0.99,4259,-0.87,8522,0.12
Chris Boucher,3318,0.74,3330,1.7,6648,2.44
Xavier Moon,282,0.22,285,-0.4,567,-0.18
Rodney McGruder,1543,-0.22,1539,0.82,3082,0.6
Dejounte Murray,4875,0.81,4884,0.27,9759,1.08
Xavier Sneed,78,-0.37,73,0.17,151,-0.2
Isaiah Todd,146,-0.77,143,0.15,289,-0.62
Jeremiah Robinson-Earl,2198,-1.48,2192,-0.22,4390,-1.7
Nemanja Bjelica,2285,0.14,2272,0.41,4557,0.55
Nassir Little,2167,0.41,2174,0.63,4341,1.04
Mike Muscala,1218,0.76,1199,0.47,2417,1.23
MJ Walker,18,-0.16,19,0.1,37,-0.06
Micah Potter,69,-0.83,70,-0.09,139,-0.92
Jonas Valanciunas,4399,1.02,4355,0.08,8754,1.1
Nikola Jokic,5025,3.06,4993,2.23,10018,5.29
Josh Jackson,1678,-0.77,1677,-0.52,3355,-1.29
Feron Hunt,16,-0.13,17,0.1,33,-0.03
Jaxson Hayes,2751,0.09,2768,0.33,5519,0.42
Jerami Grant,3015,-1.57,3003,1.29,6018,-0.28
Kristaps Porzingis,2938,-0.11,2916,0.61,5854,0.5
Jalen Green,4417,-1.61,4371,-2.12,8788,-3.73
Zach LaVine,4694,1.14,4697,-0.83,9391,0.3
Yuta Watanabe,908,-0.49,911,-0.41,1819,-0.89
Eric Gordon,3458,0.88,3423,0.0,6881,0.88
Lance Stephenson,1600,0.47,1594,-1.43,3194,-0.96
Ish Smith,2246,-1.22,2264,-1.24,4510,-2.46
Trevelin Queen,159,0.18,155,-0.04,314,0.13
Theo Maledon,1847,-1.52,1823,-1.54,3670,-3.06
Freddie Gillespie,235,-0.47,234,0.04,469,-0.43
Cameron McGriff,88,0.48,89,-0.07,177,0.41
DaQuan Jeffries,19,-0.11,17,-0.05,36,-0.16
Isaiah Jackson,1118,1.05,1108,-0.75,2226,0.3
Tyler Johnson,187,0.17,182,-0.43,369,-0.26
Sterling Brown,1257,-0.65,1251,0.68,2508,0.03
Ed Davis,388,-0.89,386,0.84,774,-0.05
George Hill,2562,0.5,2540,3.76,5102,4.26
Malcolm Brogdon,2413,0.31,2384,0.01,4797,0.32
Wendell Carter Jr.,3749,-0.1,3747,2.13,7496,2.02
Donte DiVincenzo,2064,-0.86,2063,-0.52,4127,-1.38
Joshua Primo,1973,-0.84,1982,-0.25,3955,-1.08
Daishen Nix,547,-0.63,549,0.12,1096,-0.51
James Johnson,2354,-0.31,2385,0.74,4739,0.43
Naz Reid,2539,-2.13,2528,0.25,5067,-1.88
Drew Eubanks,2525,-1.61,2532,-1.47,5057,-3.08
Miles McBride,713,1.0,720,0.78,1433,1.78
Admiral Schofield,938,-1.13,945,-0.47,1883,-1.6
Bradley Beal,2904,-0.89,2915,1.56,5819,0.67
Aaron Henry,34,-0.29,35,-0.22,69,-0.51
Semi Ojeleye,812,-2.18,826,-1.19,1638,-3.37
Patrick Beverley,3021,0.01,3021,0.66,6042,0.67
Timothe Luwawu-Cabarrot,1392,-0.67,1411,-0.74,2803,-1.41
Derrick Jones Jr.,1834,1.24,1842,0.1,3676,1.34
Markelle Fultz,749,-0.19,755,0.49,1504,0.3
Enes Freedom,812,0.55,814,0.51,1626,1.06
DeMar DeRozan,5511,2.53,5515,-0.87,11026,1.65
Avery Bradley,2853,-1.64,2886,0.36,5739,-1.27
Jalen Smith,1846,0.39,1838,0.23,3684,0.62
Kenyon Martin Jr.,3390,0.72,3369,-1.18,6759,-0.46
Zeke Nnaji,1388,-0.23,1379,-0.54,2767,-0.77
Gordon Hayward,3237,-0.21,3247,0.36,6484,0.15
Jalen Johnson,243,-0.62,248,0.17,491,-0.44
Bobby Portis,4148,1.78,4131,0.2,8279,1.98
Nick Richards,740,-0.83,756,-1.26,1496,-2.09
Ryan Arcidiacono,149,-0.78,149,0.15,298,-0.63
Ayo Dosunmu,4265,-0.96,4286,-1.21,8551,-2.17
Langston Galloway,217,-0.81,220,0.72,437,-0.09
DeAndre' Bembry,2051,0.24,2098,-0.11,4149,0.13
Franz Wagner,4895,0.42,4897,0.01,9792,0.43
Russell Westbrook,5529,-0.52,5504,-0.07,11033,-0.59
Jeremy Lamb,1898,0.95,1874,0.5,3772,1.45
Trent Forrest,1487,1.0,1507,0.06,2994,1.06
Evan Mobley,4550,-1.24,4571,1.22,9121,-0.02
Aleem Ford,134,-0.28,140,-0.54,274,-0.82
Bismack Biyombo,1011,0.16,998,-0.23,2009,-0.07
Serge Ibaka,1787,-1.21,1800,-0.15,3587,-1.36
Paul Watson,324,-0.36,321,-0.61,645,-0.97
Donovan Mitchell,4545,2.58,4535,-1.16,9080,1.42
Jamorko Pickett,364,0.07,361,-0.06,725,0.01
Brandon Williams,1311,-1.1,1302,-1.78,2613,-2.88
Jaren Jackson Jr.,4333,0.95,4316,1.16,8649,2.11
