Player,O_POSSESSIONS,O_RAPM_2021,D_POSSESSIONS,D_RAPM_2021,TOTAL_POSSESSIONS,RAPM_2021
Cam Reddish,2021,-2.83,2045,-1.32,4066,-4.15
Terance Mann,4598,0.31,4629,1.42,9227,1.73
Shake Milton,2319,-0.58,2327,-0.2,4646,-0.78
Onyeka Okongwu,1988,0.51,1980,0.61,3968,1.12
Kevin Knox II,452,-0.98,453,-1.09,905,-2.07
Josh Okogie,1084,-1.26,1079,1.39,2163,0.12
Haywood Highsmith,325,-0.44,331,-0.58,656,-1.02
Tyus Jones,3138,0.21,3143,1.36,6281,1.57
Vlatko Cancar,373,-0.2,368,0.39,741,0.19
Juancho Hernangomez,858,0.61,874,-1.27,1732,-0.66
Moses Wright,30,-0.02,30,-0.18,60,-0.2
Kelly Olynyk,1568,0.77,1547,-0.8,3115,-0.03
Matt Thomas,922,0.34,915,0.33,1837,0.67
LaMelo Ball,5037,1.47,4989,-1.08,10026,0.38
Jordan Nwora,2453,0.07,2451,-1.55,4904,-1.48
Sam Dekker,1,-0.03,2,-0.07,3,-0.1
Shaquille Harrison,47,-0.18,46,0.02,93,-0.16
Pascal Siakam,5060,2.26,5050,0.41,10110,2.67
Keldon Johnson,4918,1.2,4939,0.06,9857,1.26
Nik Stauskas,77,0.14,80,0.37,157,0.51
Karl-Anthony Towns,5122,2.83,5108,-0.73,10230,2.1
Trendon Watford,1788,-1.78,1793,-1.82,3581,-3.6
Thaddeus Young,1696,-0.85,1698,0.86,3394,0.01
Marvin Bagley III,2298,0.54,2296,-0.79,4594,-0.25
Cameron Payne,2637,-0.54,2639,1.8,5276,1.26
Tomas Satoransky,1790,-1.13,1812,-0.46,3602,-1.59
O.G. Anunoby,3396,0.48,3400,0.49,6796,0.97
Kyrie Irving,2227,3.11,2224,-0.21,4451,2.9
Victor Oladipo,348,-0.68,350,0.1,698,-0.58
Cheick Diallo,67,-0.36,70,-0.36,137,-0.72
Ben McLemore,2609,-2.04,2602,-1.14,5211,-3.18
Trayvon Palmer,32,-0.2,33,0.09,65,-0.11
Cedi Osman,2897,-0.44,2895,-0.82,5792,-1.26
Mo Bamba,3662,-2.09,3689,-0.5,7351,-2.59
Mason Plumlee,3634,-0.99,3654,1.53,7288,0.54
Miles Bridges,5771,2.46,5752,-0.22,11523,2.23
Caleb Martin,2698,0.97,2721,1.14,5419,2.11
Petr Cornelie,80,0.04,78,0.11,158,0.15
Doug McDermott,2543,0.28,2508,-2.29,5051,-2.0
Terence Davis,1107,1.41,1112,0.92,2219,2.33
Marcus Garrett,237,0.56,242,-0.29,479,0.27
Reggie Perry,376,-0.37,376,-0.57,752,-0.94
Tyler Hall,4,-0.07,5,-0.04,9,-0.11
Didi Louzada,264,-1.41,259,0.1,523,-1.3
Darius Bazley,3927,-1.88,3937,-1.57,7864,-3.45
Duncan Robinson,4001,-0.93,3972,-0.05,7973,-0.98
Dennis Smith Jr.,1289,-1.16,1300,0.3,2589,-0.85
Reggie Jackson,4661,-0.25,4694,0.97,9355,0.72
Xavier Tillman,1416,-1.02,1432,0.01,2848,-1.01
Wayne Selden,37,-0.2,39,-0.07,76,-0.27
Precious Achiuwa,3362,-0.78,3383,1.02,6745,0.24
John Konchar,2593,0.0,2614,0.44,5207,0.44
Trey Burke,870,-0.73,868,0.13,1738,-0.6
Dean Wade,1904,-1.38,1918,1.48,3822,0.1
Gary Clark,706,0.05,728,-0.15,1434,-0.1
Jon Teske,16,-0.1,15,-0.02,31,-0.12
Tre Mann,2779,-1.59,2759,-0.9,5538,-2.49
Kent Bazemore,1134,-1.69,1141,0.28,2275,-1.41
Austin Rivers,2934,1.14,2957,-0.45,5891,0.69
Justin Champagnie,555,0.97,557,-0.23,1112,0.74
Dwight Powell,3439,0.55,3469,-0.85,6908,-0.29
Gorgui Dieng,732,-1.11,732,-0.16,1464,-1.27
Delon Wright,2860,0.25,2884,0.46,5744,0.71
Kevin Pangos,328,-0.29,323,-0.99,651,-1.28
Tacko Fall,115,-0.04,111,0.09,226,0.05
Pat Connaughton,3464,-0.64,3462,-2.12,6926,-2.76
Grant Williams,3714,1.06,3731,-1.36,7445,-0.3
DeAndre Jordan,1272,-1.78,1281,-0.26,2553,-2.04
Cody Zeller,725,-0.06,730,0.0,1455,-0.06
Scotty Hopson,35,-0.12,36,0.16,71,0.04
Justin Anderson,632,0.8,629,-0.93,1261,-0.13
Boban Marjanovic,255,0.03,259,0.73,514,0.76
Juan Toscano-Anderson,1931,0.7,1980,-0.26,3911,0.43
Gabriel Deck,114,-0.07,114,-0.17,228,-0.24
De'Anthony Melton,3429,0.31,3437,1.5,6866,1.81
Chandler Hutchison,48,0.03,49,0.24,97,0.27
Leandro Bolmaro,502,-0.62,506,0.76,1008,0.14
Jaime Echenique,4,-0.09,4,0.06,8,-0.03
Javonte Green,3059,1.45,3104,0.07,6163,1.52
Monte Morris,4490,1.35,4461,0.08,8951,1.43
D.J. Augustin,1800,-0.61,1776,-1.88,3576,-2.48
Davion Mitchell,4205,-2.31,4240,0.94,8445,-1.37
Moses Brown,690,-1.05,693,-0.06,1383,-1.11
Clint Capela,4110,2.1,4141,-0.06,8251,2.04
Isaiah Roby,1961,-0.6,1963,-0.7,3924,-1.29
Jay Scrubb,259,-0.13,264,0.47,523,0.34
Brandon Boston Jr.,1541,-2.02,1557,0.82,3098,-1.2
James Ennis III,114,0.14,115,-0.06,229,0.08
Jalen McDaniels,1822,0.61,1827,0.65,3649,1.26
Facundo Campazzo,2361,-3.34,2368,-0.67,4729,-4.01
Daniel Gafford,2885,0.42,2897,-1.69,5782,-1.27
De'Aaron Fox,4316,1.48,4316,-1.46,8632,0.02
Norman Powell,2935,0.25,2927,-3.36,5862,-3.11
Davis Bertans,1616,0.42,1601,0.01,3217,0.43
Nic Claxton,1953,-0.69,1985,0.36,3938,-0.32
Udonis Haslem,171,-0.79,168,0.06,339,-0.73
Frank Ntilikina,1359,-0.85,1352,1.41,2711,0.55
Ja Morant,3876,1.48,3878,-0.83,7754,0.65
Romeo Langford,1519,-1.57,1546,1.26,3065,-0.31
JaQuori McLaughlin,24,-0.02,24,-0.23,48,-0.25
De'Andre Hunter,3182,-0.15,3184,-0.56,6366,-0.71
Bruce Brown,3571,0.25,3619,-0.81,7190,-0.56
Zach Collins,1039,0.07,1032,0.1,2071,0.17
Solomon Hill,273,0.22,275,1.04,548,1.26
Terrence Ross,2979,-1.5,2940,-1.8,5919,-3.3
Markieff Morris,596,0.14,597,-0.3,1193,-0.15
Devon Dotson,165,0.22,166,-0.24,331,-0.01
Alex Caruso,2298,-0.08,2298,2.48,4596,2.4
Talen Horton-Tucker,3089,-1.01,3096,0.34,6185,-0.67
Devin Cannady,289,0.21,295,0.28,584,0.49
Vit Krejci,1409,-0.92,1407,-1.35,2816,-2.27
Ish Wainright,734,-0.3,734,0.87,1468,0.57
Duane Washington Jr.,1991,0.06,1962,-1.67,3953,-1.61
Anthony Davis,2911,-1.58,2906,1.88,5817,0.29
Luka Garza,799,-0.1,804,-0.22,1603,-0.32
Javin DeLaurier,6,0.15,7,0.0,13,0.15
Josh Giddey,3427,-1.7,3429,0.53,6856,-1.17
Georgios Kalaitzakis,426,-1.13,431,-1.48,857,-2.61
BJ Johnson,129,-0.11,125,-0.26,254,-0.37
Jericho Sims,1089,0.2,1098,1.09,2187,1.29
Paul Millsap,761,-0.57,754,-0.22,1515,-0.78
Spencer Dinwiddie,3903,-0.1,3927,0.79,7830,0.69
Jaden Springer,11,-0.08,12,-0.1,23,-0.18
Mamadi Diakite,366,-0.67,358,0.65,724,-0.02
Jeff Green,3722,0.34,3724,-0.82,7446,-0.47
Draymond Green,2713,-1.06,2704,2.23,5417,1.17
Joel Ayayi,37,-0.15,34,0.14,71,0.0
Dorian Finney-Smith,5097,2.16,5113,0.18,10210,2.34
Emmanuel Mudiay,23,-0.12,26,0.01,49,-0.11
Taurean Prince,2485,0.0,2477,-0.65,4962,-0.65
Robin Lopez,1243,-0.46,1225,0.33,2468,-0.13
Malcolm Hill,442,-0.09,441,-0.3,883,-0.39
Davon Reed,1324,0.1,1347,-0.06,2671,0.04
Cassius Winston,67,-0.18,63,-0.27,130,-0.45
Jimmy Butler,3782,1.26,3760,0.45,7542,1.71
Jeff Dowtin Jr.,220,-0.52,219,-0.07,439,-0.59
Saddiq Bey,5498,-1.11,5454,-1.32,10952,-2.43
Killian Hayes,3352,-2.07,3349,-0.67,6701,-2.74
Luka Doncic,4481,1.11,4523,-0.51,9004,0.6
Aaron Wiggins,2444,0.04,2490,-0.55,4934,-0.51
Braxton Key,410,0.39,405,0.53,815,0.92
Derrick Walton Jr.,229,-0.25,229,0.56,458,0.31
Isaac Okoro,3857,1.03,3899,-0.57,7756,0.46
Obi Toppin,2398,1.02,2411,0.97,4809,1.99
Aaron Nesmith,1151,-0.13,1168,0.56,2319,0.43
Arnoldas Kulboka,10,-0.15,12,-0.13,22,-0.28
Coby White,3350,0.87,3356,-1.16,6706,-0.28
Eric Paschall,1458,-0.31,1455,-1.42,2913,-1.73
Joe Harris,882,-1.19,876,0.76,1758,-0.42
Seth Curry,4189,0.82,4158,0.34,8347,1.15
Jalen Suggs,2661,-1.87,2672,1.31,5333,-0.56
Derrick Rose,1264,-0.21,1248,1.39,2512,1.18
Robert Covington,3901,0.57,3909,0.89,7810,1.46
Eric Bledsoe,2741,-1.38,2751,1.07,5492,-0.3
Patrick Williams,848,-0.58,851,-0.61,1699,-1.19
Otto Porter Jr.,2806,-0.04,2780,1.38,5586,1.34
Zavier Simpson,342,-0.66,346,-1.03,688,-1.69
Cassius Stanley,313,-0.31,314,0.38,627,0.07
Jaylen Morris,35,0.07,32,0.1,67,0.17
Wes Iwundu,159,0.2,161,-0.23,320,-0.03
Malachi Flynn,1074,0.03,1077,-0.93,2151,-0.9
Klay Thompson,1914,0.17,1918,-0.37,3832,-0.2
Marcus Smart,4617,1.48,4609,1.42,9226,2.9
Trevor Ariza,927,-0.39,933,-0.16,1860,-0.55
Jared Butler,724,0.44,731,-1.13,1455,-0.69
Jarrett Allen,3544,-0.32,3566,1.53,7110,1.21
Myles Turner,2446,0.1,2449,0.76,4895,0.86
Luke Kornet,212,0.67,209,-0.05,421,0.62
Brook Lopez,619,-0.36,616,-0.28,1235,-0.64
Mitchell Robinson,3621,0.38,3627,-0.49,7248,-0.1
Nathan Knight,555,-0.27,553,0.77,1108,0.5
Maxi Kleber,2818,-0.64,2812,1.7,5630,1.06
Josh Green,2080,-0.79,2095,1.11,4175,0.32
CJ Elleby,2382,-1.31,2371,-1.51,4753,-2.82
Lamar Stevens,1972,0.05,2003,-0.51,3975,-0.46
Jabari Parker,224,-0.21,226,0.11,450,-0.1
JT Thor,524,-0.22,535,0.19,1059,-0.03
Will Barton,4597,-0.96,4570,-0.03,9167,-0.99
CJ McCollum,4266,1.5,4280,-1.67,8546,-0.16
Georges Niang,3434,0.4,3415,-0.37,6849,0.03
Luguentz Dort,3403,-1.98,3412,0.53,6815,-1.45
Reggie Bullock,3690,1.19,3707,1.7,7397,2.88
Jayson Tatum,5421,3.37,5402,2.5,10823,5.87
Dewayne Dedmon,2099,-0.31,2108,0.62,4207,0.31
Omer Yurtseven,1391,0.88,1397,-0.13,2788,0.75
Garrett Temple,2155,-2.69,2178,-2.16,4333,-4.84
Jordan Schakel,61,-0.14,61,0.23,122,0.09
LaMarcus Aldridge,2140,0.32,2151,-0.05,4291,0.27
Matt Mooney,4,-0.07,5,-0.04,9,-0.11
Jordan Bell,3,0.13,4,-0.06,7,0.07
James Bouknight,621,-0.35,630,-0.81,1251,-1.16
Mikal Bridges,5808,3.0,5839,0.92,11647,3.92
D'Angelo Russell,4316,1.48,4278,0.18,8594,1.66
Trevon Scott,24,-0.02,23,0.14,47,0.12
Paul George,2189,-0.14,2189,2.46,4378,2.31
Josh Christopher,2750,-0.38,2721,-1.81,5471,-2.19
Kentavious Caldwell-Pope,4635,0.0,4647,-0.74,9282,-0.74
Elijah Hughes,886,-1.46,895,-2.0,1781,-3.46
Olivier Sarr,843,-0.14,859,0.68,1702,0.54
Cam Thomas,2388,-1.95,2383,-1.14,4771,-3.09
Scottie Barnes,5125,-0.85,5148,0.39,10273,-0.46
Matt Ryan,11,0.05,12,0.05,23,0.1
Brandon Clarke,2559,1.07,2595,0.9,5154,1.97
Denzel Valentine,447,-0.46,449,0.06,896,-0.4
Shai Gilgeous-Alexander,4015,0.99,4004,-0.93,8019,0.05
Corey Kispert,3556,2.22,3521,-1.11,7077,1.11
Anthony Edwards,5076,1.31,5071,0.65,10147,1.96
Luke Kennard,3839,0.59,3813,1.24,7652,1.83
Blake Griffin,1974,-1.26,1973,-0.81,3947,-2.07
Dakota Mathias,35,-0.4,33,0.01,68,-0.39
Ziaire Williams,2797,0.45,2800,0.31,5597,0.76
Larry Nance Jr.,2042,0.69,2072,-0.03,4114,0.65
Sandro Mamukelashvili,812,-1.17,811,-1.57,1623,-2.74
Landry Shamet,2942,-0.81,2957,1.37,5899,0.56
Malik Fitts,128,-0.35,127,-0.03,255,-0.38
Ade Murkey,2,-0.03,3,0.03,5,0.0
Andrew Wiggins,4691,-0.81,4701,1.25,9392,0.43
Bol Bol,167,-0.13,166,0.23,333,0.1
Tyler Cook,396,-0.21,394,-0.6,790,-0.81
Deividas Sirvydis,59,-0.61,59,-0.03,118,-0.64
Moritz Wagner,1959,0.88,1956,-1.1,3915,-0.22
Jae'Sean Tate,4197,-1.15,4178,-0.32,8375,-1.47
Alperen Sengun,3028,-0.55,3012,-1.49,6040,-2.04
Jake Layman,482,-0.12,480,-0.2,962,-0.32
Tyler Herro,4268,1.35,4258,0.34,8526,1.69
Grayson Allen,3715,-0.38,3698,1.1,7413,0.72
Jordan Clarkson,4272,1.78,4260,1.12,8532,2.9
Tim Hardaway Jr.,2443,-0.74,2441,0.52,4884,-0.21
Garrison Mathews,3530,1.61,3489,-1.7,7019,-0.08
Abdel Nader,310,-0.96,310,0.49,620,-0.47
Tony Bradley,1114,0.4,1127,1.21,2241,1.61
Lonzo Ball,2466,-1.08,2461,1.59,4927,0.51
Keita Bates-Diop,1931,-0.69,1950,1.12,3881,0.43
Greg Monroe,399,0.1,393,-0.15,792,-0.04
Anfernee Simons,3354,1.09,3353,-0.36,6707,0.73
Eugene Omoruyi,38,-0.05,37,0.09,75,0.03
Tim Frazier,411,-1.34,412,0.05,823,-1.29
Furkan Korkmaz,2816,-0.46,2817,0.08,5633,-0.38
Norvel Pelle,36,-0.54,35,-0.07,71,-0.61
Saben Lee,1226,-0.69,1213,-0.56,2439,-1.25
Hassani Gravett,330,0.01,327,0.21,657,0.22
Isaiah Hartenstein,2435,1.76,2451,0.17,4886,1.93
Melvin Frazier Jr.,241,-0.85,237,-0.91,478,-1.76
Daniel Oturu,56,-0.17,57,-0.4,113,-0.57
Kelan Martin,881,-1.1,875,0.12,1756,-0.98
Jordan McLaughlin,1904,0.68,1905,-0.23,3809,0.45
Brandon Ingram,3661,0.89,3654,1.22,7315,2.11
Kevon Looney,3458,1.75,3500,-0.34,6958,1.41
Theo Pinson,300,-1.02,305,0.02,605,-1.0
Jordan Poole,4606,1.48,4583,0.64,9189,2.12
Elfrid Payton,1111,-1.59,1123,-0.26,2234,-1.85
Andre Drummond,2836,0.64,2875,0.17,5711,0.81
Isaiah Joe,1195,-0.03,1201,0.48,2396,0.44
Jusuf Nurkic,3183,-0.28,3154,1.57,6337,1.29
Lonnie Walker IV,3306,-0.4,3323,-0.59,6629,-0.99
Max Strus,3121,1.44,3117,-0.3,6238,1.13
Hassan Whiteside,2325,2.96,2339,0.28,4664,3.24
RJ Nembhard,119,-0.79,116,0.47,235,-0.32
Myles Powell,104,-0.05,107,-0.46,211,-0.51
Kris Dunn,682,0.26,687,-0.56,1369,-0.3
Alfonzo McKinnie,397,0.14,400,-1.27,797,-1.12
Carsen Edwards,162,-0.13,161,-0.2,323,-0.33
Danilo Gallinari,3358,2.1,3351,-0.93,6709,1.17
Julius Randle,5037,-0.86,5023,0.0,10060,-0.86
McKinley Wright IV,38,-0.05,37,-0.24,75,-0.28
Derrick Favors,1299,-1.79,1321,0.88,2620,-0.91
Emanuel Terry,38,-0.5,37,-0.07,75,-0.57
Keljin Blevins,702,-1.11,710,-2.03,1412,-3.13
Damian Jones,2042,-0.54,2049,-0.73,4091,-1.27
Charles Bassey,332,-0.62,332,-0.06,664,-0.68
Jrue Holiday,4517,4.02,4533,0.55,9050,4.56
Brandon Knight,137,-0.31,132,0.14,269,-0.17
Devonte' Graham,4299,0.72,4257,-0.06,8556,0.65
Austin Reaves,2922,0.33,2902,1.37,5824,1.7
Anthony Gill,904,1.45,927,0.24,1831,1.69
Wenyen Gabriel,728,1.6,723,-0.31,1451,1.29
Kevin Porter Jr.,3922,0.12,3908,0.46,7830,0.58
Rajon Rondo,1417,-2.47,1418,0.67,2835,-1.8
Ahmad Caver,2,0.04,2,0.01,4,0.05
Chuma Okeke,3598,-3.19,3581,0.84,7179,-2.35
Bruno Fernando,319,-0.6,315,-0.31,634,-0.9
Tristan Thompson,1781,1.17,1789,-0.91,3570,0.25
Bones Hyland,2631,1.8,2631,-0.83,5262,0.97
Isaiah Livers,763,1.09,763,-0.7,1526,0.39
Chris Silva,179,-0.13,185,-0.54,364,-0.67
Desmond Bane,4567,1.68,4552,0.47,9119,2.15
LeBron James,4253,1.4,4274,-1.03,8527,0.36
Chimezie Metu,2604,-0.87,2621,-0.11,5225,-0.98
Svi Mykhailiuk,1445,-1.32,1429,-0.7,2874,-2.02
Marcus Morris Sr.,3110,0.23,3112,-1.52,6222,-1.29
Rayjon Tucker,154,0.39,153,-0.39,307,0.0
Payton Pritchard,1984,-0.18,1969,-0.41,3953,-0.59
Aleksej Pokusevski,2509,-0.36,2474,1.33,4983,0.97
Khem Birch,1955,0.62,1942,-1.11,3897,-0.49
Joe Ingles,2239,-0.49,2226,1.32,4465,0.83
Willie Cauley-Stein,376,-0.38,373,0.78,749,0.4
Willy Hernangomez,1696,1.19,1713,-1.32,3409,-0.13
Tre Jones,2339,-0.07,2340,-0.32,4679,-0.39
Juwan Morgan,64,-0.01,62,-0.39,126,-0.4
Caris LeVert,3533,1.53,3520,-2.45,7053,-0.92
Ignas Brazdeikis,1075,-0.65,1071,-1.49,2146,-2.14
Jaylen Hoard,476,-0.53,479,-0.9,955,-1.43
Giannis Antetokounmpo,4581,2.57,4563,0.87,9144,3.44
Nerlens Noel,1108,-0.79,1127,-0.4,2235,-1.19
Javonte Smart,399,-0.78,403,-0.17,802,-0.95
Kelly Oubre Jr.,4105,0.22,4104,-0.46,8209,-0.24
Daniel Theis,1982,-1.43,1994,1.17,3976,-0.26
Jemerrio Jones,30,-0.17,29,-0.18,59,-0.35
Isaac Bonga,140,-0.77,144,-0.02,284,-0.79
